".id","dataset","replicate.merging","rarity.cutoff","sample.type","frequency","percentage","log.freq","loess.5","loess.5.secderiv","Core","In-between","Satellite"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",40,52,3.68887945411394,3.70752107836511,-0.00589515074442119,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",40,53,3.68887945411394,3.68644840348729,-0.0044981335911205,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",38,54,3.63758615972639,3.66087759501836,-0.00310111643781983,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",35,55,3.55534806148941,3.63167122296417,-0.00491078216914495,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",41,56,3.71357206670431,3.59768130265887,-0.00595704439225715,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",41,57,3.71357206670431,3.55773433796132,-0.00700330661536933,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",29,58,3.36729582998647,3.5127387666655,0.00367863126419271,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",36,59,3.58351893845611,3.47052305072829,0.00896791371018715,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",25,60,3.2188758248682,3.43727524850126,0.0142571961561816,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",33,61,3.49650756146648,3.41745105572637,0.0145449583778948,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",25,62,3.2188758248682,3.41151252763412,0.0108769584281097,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",36,63,3.58351893845611,3.41645095796998,0.00720895847832463,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",26,64,3.25809653802148,3.42824726103463,0.00143444403128661,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",40,65,3.68887945411394,3.44147800813056,-0.00434007041575147,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",31,66,3.43398720448515,3.45184267499495,-0.00127064375749399,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",30,67,3.40119738166216,3.46066259096443,0.000154140076218355,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",32,68,3.46573590279973,3.46963664701013,0.00157892390993071,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",34,69,3.52636052461616,3.47986696652105,0.00106774507545024,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",31,71,3.43398720448515,3.50519243878373,0.0033045526799194,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",31,72,3.43398720448515,3.52225280203383,0.00442295648215397,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",35,73,3.55534806148941,3.54174158734407,-0.00642584624772307,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",41,74,3.71357206670431,3.55653927463159,-0.00686615962757244,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",42,75,3.73766961828337,3.56447080229153,-0.00730647300742181,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",30,76,3.40119738166216,3.56667241239743,0.00171254633295483,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",34,77,3.52636052461616,3.57058656883628,0.0107315656733315,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",29,78,3.36729582998647,3.5828485456579,0.00544811327036536,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",47,79,3.85014760171006,3.60079103423362,0.0015590517698029,"80-100","19-79","1-18"
