"Mass","MolForm"
"246.1095509","C9H17O5N3"
"246.1135193","C14H17O3N"
"246.134683","C11H21O5N"
"246.9375384","C7H4O6S2"
"246.9706918","C11H4O5S"
"246.9740359","C8H8O5S2"
"246.9918373","C8H8O7S"
"247.0070856","C12H8O4S"
"247.0110055","C9H4O5N4"
"247.024801","C12H8O6"
"247.024925","C12H8O6"
"247.0281631","C9H12O6S"
"247.0360403","C11H8O5N2"
"247.0386066","C10H17OS2P"
"247.0394157","C8H12O5N2S"
"247.043452","C13H12O3S"
"247.0459114","C9H12O8"
"247.0460458","C9H12O8"
"247.0612011","C13H12O5"
"247.0645256","C10H16O5S"
"247.0646646","C10H16O5S"
"247.0724098","C12H12O4N2"
"247.0823368","C10H16O7"
"247.0837319","C11H12O3N4"
"247.0935696","C9H16O6N2"
"247.0975945","C14H16O4"
"247.1009705","C11H20O4S"
"247.1121971","C10H20O3N2S"
"247.118733","C11H20O6"
"247.1196104","C12H24OS2"
"247.1339672","C15H20O3"
"247.1373615","C12H24O3S"
"247.1551073","C12H24O5"
"247.1703275","C16H24O2"
"247.9399328","C10H4ONS2P"
"247.9866227","C9H4O4N3P"
"247.9870585","C7H7O7NS"
"247.9941262","C11H8O2NSP"
"248.0200547","C11H7O6N"
"248.0201814","C11H7O6N"
"248.0387119","C12H11O3NS"
"248.0412663","C8H11O8N"
"248.0564361","C12H11O5N"
"248.0676509","C11H11O4N3"
"248.0775975","C9H15O7N"
"248.0880001","C10H20O2NSP"
"248.0888242","C8H15O6N3"
"248.0928093","C13H15O4N"
"248.1139872","C10H19O6N"
"248.1208959","C14H20ONP"
"248.9710643","C7H6O8S"
"249.0040636","C11H6O7"
"249.0042004","C11H6O7"
"249.0152993","C10H6O6N2"
"249.0187055","C7H10O6N2S"
"249.0227066","C12H10O4S"
"249.0322153","C12H11O4P"
"249.0404675","C12H10O6"
"249.0438151","C9H14O6S"
"249.0516664","C11H10O5N2"
"249.0555966","C16H10O3"
"249.0591113","C13H14O3S"
"249.0615572","C9H14O8"
"249.0629603","C10H10O4N4"
"249.0768527","C13H14O5"
"249.0802097","C10H18O5S"
"249.0880558","C12H14O4N2"
"249.0881817","C12H14O4N2"
"249.0979835","C10H18O7"
"249.0988342","C11H22O2S2"
"249.0992607","C11H14O3N4"
"249.1132224","C14H18O4"
"249.1166177","C11H22O4S"
"249.1244218","C13H18O3N2"
"249.134357","C11H22O6"
"249.1496147","C15H22O3"
"249.1529913","C12H26O3S"
"249.186019","C16H26O2"
"249.9993536","C10H5O7N"
"250.0178642","C11H9O4NS"
"250.0275229","C11H10O4NP"
"250.0358322","C11H9O6N"
"250.0487047","C8H14O6NP"
"250.056854","C8H13O8N"
"250.07209","C12H13O5N"
"250.0754689","C9H17O5NS"
"250.0873786","C16H13O2N"
"250.0932471","C9H17O7N"
"250.1084761","C13H17O4N"
"250.1296144","C10H21O6N"
"250.1448617","C14H21O3N"
"250.968996","C7H8O6S2"
"250.990408","C14H5O3P"
"251.0019799","C11H8O5S"
"251.0197332","C11H8O7"
"251.0310303","C10H8O6N2"
"251.0383354","C12H12O4S"
"251.0511541","C9H17O4SP"
"251.0513174","C9H17O4SP"
"251.0560986","C12H12O6"
"251.0594793","C9H16O6S"
"251.0673594","C11H12O5N2"
"251.0713455","C16H12O3"
"251.0772196","C9H16O8"
"251.0785764","C10H12O4N4"
"251.082564","C15H12O2N2"
"251.0925063","C13H16O5"
"251.0958765","C10H20O5S"
"251.1037616","C12H16O4N2"
"251.1136461","C10H20O7"
"251.1145376","C11H24O2S2"
"251.1289035","C14H20O4"
"251.1322834","C11H24O4S"
"251.1652673","C15H24O3"
